Bill No,Transaction Date,Menu Item,Item Category,Guest ID,Bill Amount,Qty,Outlet
B00056,2023-12-18 09:00:00,Sandwich,Food,G0317,585.18,1,Indiranagar
B00057,2024-03-02 09:00:00,Sandwich,Food,G0295,166.28,2,Koramangala
B00058,2024-04-04 00:00:00,Cold Brew,Food,G0128,166.58,1,MG Road
B00059,2023-11-10 01:00:00,Tea,Beverage,G0344,267.28,1,Koramangala
B00060,2023-04-19 20:00:00,Espresso,Beverage,G0282,111.05,2,Koramangala
B00061,2023-10-21 09:00:00,Muffin,Food,G0017,184.0,1,MG Road
B00062,2024-02-03 03:00:00,Latte,Food,G0071,630.17,1,Koramangala
B00063,2023-09-17 19:00:00,Croissant,Food,G0269,324.06,2,Koramangala
B00064,2023-08-17 14:00:00,Tea,Beverage,G0325,440.25,3,Koramangala
B00065,2023-10-23 19:00:00,Espresso,Beverage,G0282,493.88,2,Indiranagar
B00066,2024-02-07 22:00:00,Sandwich,Beverage,G0305,289.17,1,Koramangala
B00067,2024-03-23 20:00:00,Cold Brew,Beverage,G0007,163.92,2,MG Road
B00068,2023-02-02 07:00:00,Croissant,Food,G0314,197.75,1,Indiranagar
B00069,2024-05-23 14:00:00,Sandwich,Food,G0305,258.56,1,Indiranagar
B00070,2023-12-09 18:00:00,Cold Brew,Beverage,G0103,442.56,2,MG Road
B00071,2023-05-12 08:00:00,Croissant,Beverage,G0309,307.02,1,Koramangala
B00072,2024-02-27 19:00:00,Latte,Food,G0193,83.88,3,Indiranagar
B00073,2023-03-08 01:00:00,Espresso,Beverage,G0241,378.34,1,Indiranagar
B00074,2023-06-14 07:00:00,Croissant,Beverage,G0062,605.26,2,Indiranagar
B00075,2023-11-11 19:00:00,Muffin,Beverage,G0017,542.88,3,Koramangala
B00076,2023-05-09 01:00:00,Tea,Beverage,G0171,550.37,3,Indiranagar
B00077,2023-02-12 13:00:00,Cappuccino,Beverage,G0025,533.18,1,MG Road
B00078,2024-04-30 13:00:00,Muffin,Beverage,G0251,264.53,2,Koramangala
B00079,2024-03-26 05:00:00,Muffin,Food,G0253,516.16,1,MG Road
B00080,2023-06-10 03:00:00,Tea,Beverage,G0387,161.6,1,MG Road
B00081,2023-11-29 21:00:00,Cappuccino,Beverage,G0207,454.9,2,Indiranagar
B00082,2024-02-08 20:00:00,Muffin,Food,G0029,445.69,2,Indiranagar
B00083,2024-06-25 06:00:00,Croissant,Food,G0117,94.57,1,Indiranagar
B00084,2023-10-14 09:00:00,Croissant,Food,G0282,529.14,3,MG Road
B00085,2023-08-25 11:00:00,Croissant,Beverage,G0380,594.85,1,Koramangala
B00086,2023-01-07 17:00:00,Cappuccino,Food,G0144,232.43,3,Indiranagar
B00087,2023-06-29 01:00:00,Muffin,Beverage,G0025,543.06,1,Indiranagar
B00088,2024-02-28 21:00:00,Cold Brew,Beverage,G0310,126.97,2,MG Road
B00089,2023-02-11 11:00:00,Cappuccino,Beverage,G0156,421.98,3,Koramangala
B00090,2024-06-29 23:00:00,Croissant,Food,G0073,356.82,2,MG Road
B00091,2024-04-25 14:00:00,Tea,Food,G0120,391.18,2,Indiranagar
B00092,2024-06-14 23:00:00,Muffin,Food,G0312,607.94,2,MG Road
B00093,2023-11-14 21:00:00,Muffin,Food,G0321,576.65,2,Indiranagar
B00094,2024-05-14 14:00:00,Sandwich,Food,G0093,527.5,2,Koramangala
B00095,2024-01-30 11:00:00,Sandwich,Beverage,G0086,236.01,1,MG Road
B00096,2023-02-12 08:00:00,Latte,Beverage,G0336,599.74,3,Indiranagar
B00097,2023-11-24 21:00:00,Cold Brew,Beverage,G0364,135.58,1,Indiranagar
B00098,2023-09-26 07:00:00,Cold Brew,Beverage,G0118,566.4,1,Indiranagar
B00099,2023-11-25 20:00:00,Espresso,Food,G0233,267.05,1,Indiranagar
B00100,2023-10-13 23:00:00,Cold Brew,Food,G0199,110.65,2,MG Road
B00101,2023-11-26 20:00:00,Sandwich,Beverage,G0206,461.53,1,Indiranagar
B00102,2023-12-22 09:00:00,Cappuccino,Food,G0339,211.83,3,MG Road
B00103,2023-02-06 14:00:00,Cold Brew,Food,G0147,218.84,1,Indiranagar
B00104,2024-01-22 04:00:00,Sandwich,Beverage,G0271,254.45,2,MG Road
B00105,2023-07-23 15:00:00,Latte,Beverage,G0387,116.3,3,MG Road
B00106,2024-05-22 17:00:00,Muffin,Food,G0139,180.96,3,Indiranagar
B00107,2023-07-22 11:00:00,Cold Brew,Food,G0181,82.93,3,Indiranagar
B00108,2023-09-21 19:00:00,Latte,Beverage,G0030,333.88,3,Indiranagar
B00109,2023-12-24 03:00:00,Muffin,Beverage,G0057,128.03,1,Indiranagar
B00110,2023-12-28 20:00:00,Tea,Beverage,G0232,469.11,2,Koramangala
B00111,2023-10-28 08:00:00,Tea,Food,G0146,214.31,3,Indiranagar
B00112,2023-08-08 20:00:00,Muffin,Beverage,G0384,617.84,3,Indiranagar
B00113,2023-03-27 22:00:00,Cold Brew,Beverage,G0048,576.61,2,Indiranagar
B00114,2024-05-18 04:00:00,Espresso,Food,G0194,244.98,1,MG Road
B00115,2023-01-03 16:00:00,Sandwich,Food,G0224,526.43,3,Indiranagar
B00116,2023-11-30 14:00:00,Cappuccino,Food,G0136,537.85,1,MG Road
B00117,2023-04-18 00:00:00,Cappuccino,Food,G0022,642.34,1,MG Road
B00118,2023-08-16 15:00:00,Croissant,Food,G0006,420.77,1,MG Road
B00119,2023-03-26 11:00:00,Muffin,Beverage,G0204,126.72,1,MG Road
B00120,2023-04-23 07:00:00,Cappuccino,Beverage,G0239,448.7,3,Koramangala
B00121,2024-02-08 15:00:00,Cold Brew,Food,G0185,436.24,3,Indiranagar
B00122,2023-08-08 02:00:00,Espresso,Food,G0360,443.86,1,MG Road
B00123,2023-08-23 02:00:00,Muffin,Food,G0292,255.07,1,Indiranagar
B00124,2023-10-08 16:00:00,Espresso,Food,G0335,570.02,2,MG Road
B00125,2023-01-17 07:00:00,Cold Brew,Food,G0220,626.9,2,Koramangala
B00126,2024-06-13 10:00:00,Cappuccino,Beverage,G0116,204.1,2,MG Road
B00127,2024-06-11 18:00:00,Cappuccino,Beverage,G0313,130.25,3,Indiranagar
B00128,2023-09-03 12:00:00,Croissant,Beverage,G0049,190.88,2,Indiranagar
B00129,2023-05-29 09:00:00,Cappuccino,Beverage,G0173,547.71,3,Koramangala
B00130,2024-03-12 06:00:00,Muffin,Food,G0082,465.69,3,Indiranagar
B00131,2023-09-15 16:00:00,Cold Brew,Beverage,G0322,442.55,3,Indiranagar
B00132,2023-05-10 03:00:00,Tea,Food,G0333,309.02,3,MG Road
B00133,2023-09-19 14:00:00,Cold Brew,Food,G0045,409.36,2,Indiranagar
B00134,2023-12-16 16:00:00,Muffin,Food,G0335,255.49,1,MG Road
B00135,2024-06-28 11:00:00,Muffin,Beverage,G0020,352.0,1,Koramangala
B00136,2023-05-10 08:00:00,Croissant,Food,G0221,532.05,1,Indiranagar
B00137,2023-10-28 15:00:00,Croissant,Beverage,G0123,639.31,2,MG Road
B00138,2024-06-16 22:00:00,Cappuccino,Beverage,G0234,611.52,1,Indiranagar
B00139,2023-04-13 06:00:00,Latte,Food,G0221,612.3,2,MG Road
B00140,2024-05-08 05:00:00,Cold Brew,Food,G0323,309.27,2,Koramangala
B00141,2024-01-10 20:00:00,Cold Brew,Food,G0339,347.21,2,MG Road
B00142,2023-04-24 19:00:00,Latte,Beverage,G0003,482.21,1,Indiranagar
B00143,2024-04-01 21:00:00,Croissant,Food,G0182,605.65,1,MG Road
B00144,2023-12-06 18:00:00,Cappuccino,Beverage,G0206,160.94,1,Indiranagar
B00145,2024-02-11 18:00:00,Latte,Food,G0320,253.42,3,Koramangala
B00146,2023-07-30 16:00:00,Cappuccino,Food,G0040,159.37,2,MG Road
B00147,2023-12-04 22:00:00,Cappuccino,Beverage,G0059,428.84,3,Indiranagar
B00148,2024-03-29 10:00:00,Cappuccino,Beverage,G0062,254.59,2,Indiranagar
B00149,2023-06-10 00:00:00,Sandwich,Beverage,G0132,265.88,1,Indiranagar
B00150,2023-02-12 20:00:00,Muffin,Beverage,G0060,120.42,2,MG Road
B00151,2023-11-04 17:00:00,Cappuccino,Beverage,G0372,279.38,2,MG Road
B00152,2023-01-21 22:00:00,Sandwich,Beverage,G0331,571.62,3,MG Road
B00153,2023-10-15 22:00:00,Croissant,Food,G0122,212.85,2,Koramangala
B00154,2024-06-12 13:00:00,Latte,Food,G0107,476.26,1,Indiranagar
B00155,2024-01-13 14:00:00,Muffin,Beverage,G0096,438.89,2,Indiranagar
B00156,2023-10-17 02:00:00,Tea,Food,G0347,572.19,2,Koramangala
B00157,2023-07-07 00:00:00,Latte,Beverage,G0235,155.4,2,Koramangala
B00158,2023-01-09 14:00:00,Muffin,Food,G0386,637.23,3,MG Road
B00159,2023-08-02 22:00:00,Tea,Food,G0062,412.1,2,MG Road
B00160,2023-09-07 01:00:00,Latte,Beverage,G0256,647.42,2,MG Road
B00161,2023-11-18 17:00:00,Muffin,Beverage,G0049,599.56,3,MG Road
B00162,2023-10-21 03:00:00,Latte,Beverage,G0393,206.26,3,MG Road
B00163,2023-03-03 20:00:00,Latte,Food,G0348,112.01,3,MG Road
B00164,2023-11-24 10:00:00,Tea,Beverage,G0159,225.71,3,Koramangala
B00165,2023-02-05 23:00:00,Latte,Food,G0124,380.71,1,Koramangala
B00166,2023-04-27 06:00:00,Latte,Beverage,G0317,177.81,1,Koramangala
B00167,2023-11-05 16:00:00,Tea,Food,G0207,175.45,2,Indiranagar
B00168,2023-12-31 19:00:00,Croissant,Food,G0048,343.68,1,Indiranagar
B00169,2023-08-02 04:00:00,Cappuccino,Beverage,G0136,98.96,2,MG Road
B00170,2024-05-30 23:00:00,Cold Brew,Food,G0201,149.48,1,Koramangala
B00171,2023-09-08 19:00:00,Espresso,Food,G0250,317.04,3,Indiranagar
B00172,2023-03-15 05:00:00,Sandwich,Beverage,G0314,115.98,3,Indiranagar
B00173,2023-11-12 14:00:00,Espresso,Food,G0357,306.15,1,Koramangala
B00174,2023-09-23 14:00:00,Espresso,Beverage,G0368,350.18,1,Indiranagar
B00175,2023-10-15 04:00:00,Muffin,Beverage,G0318,337.22,2,Indiranagar
B00176,2023-03-11 22:00:00,Cappuccino,Beverage,G0295,575.43,2,Koramangala
B00177,2023-05-16 02:00:00,Muffin,Beverage,G0314,382.14,2,Indiranagar
B00178,2023-07-13 04:00:00,Cappuccino,Food,G0209,346.75,3,Koramangala
B00179,2023-02-14 03:00:00,Tea,Food,G0355,314.1,3,Indiranagar
B00180,2023-10-05 20:00:00,Tea,Food,G0211,546.05,3,Koramangala
B00181,2024-02-18 02:00:00,Cold Brew,Beverage,G0192,590.18,3,Indiranagar
B00182,2024-04-24 10:00:00,Cappuccino,Food,G0044,566.35,2,Indiranagar
B00183,2023-05-12 13:00:00,Latte,Food,G0029,463.92,3,Koramangala
B00184,2023-09-04 11:00:00,Croissant,Beverage,G0059,158.3,3,Indiranagar
B00185,2024-03-26 17:00:00,Cold Brew,Beverage,G0071,237.82,3,Koramangala
B00186,2024-03-31 01:00:00,Cold Brew,Food,G0092,106.26,3,Koramangala
B00187,2024-02-12 21:00:00,Latte,Beverage,G0265,610.57,1,Indiranagar
B00188,2024-04-13 20:00:00,Croissant,Beverage,G0383,456.66,2,MG Road
B00189,2023-04-23 05:00:00,Muffin,Beverage,G0220,505.43,2,Indiranagar
B00190,2024-06-29 03:00:00,Croissant,Beverage,G0390,257.6,3,MG Road
B00191,2023-06-01 03:00:00,Muffin,Food,G0215,562.02,1,MG Road
B00192,2024-02-03 03:00:00,Tea,Beverage,G0387,227.97,2,Indiranagar
B00193,2024-02-28 21:00:00,Espresso,Beverage,G0277,80.94,2,MG Road
B00194,2023-08-16 02:00:00,Tea,Beverage,G0064,294.56,3,Koramangala
B00195,2023-03-11 07:00:00,Tea,Beverage,G0346,405.33,3,Koramangala
B00196,2024-02-10 01:00:00,Espresso,Beverage,G0292,352.86,2,MG Road
B00197,2024-03-02 06:00:00,Croissant,Beverage,G0245,571.38,2,Koramangala
B00198,2023-08-22 00:00:00,Cold Brew,Beverage,G0062,140.08,1,Indiranagar
B00199,2024-04-23 22:00:00,Croissant,Beverage,G0332,395.68,2,Koramangala
B00200,2024-03-10 13:00:00,Muffin,Food,G0170,372.4,2,MG Road
B00201,2023-11-05 00:00:00,Latte,Beverage,G0269,240.39,3,Indiranagar
B00202,2023-02-24 10:00:00,Muffin,Food,G0267,548.67,2,Koramangala
B00203,2024-05-24 05:00:00,Latte,Beverage,G0054,509.12,3,Indiranagar
B00204,2023-10-10 08:00:00,Tea,Beverage,G0016,497.73,2,MG Road
B00205,2024-03-28 19:00:00,Espresso,Beverage,G0008,579.43,2,Koramangala
B00206,2023-09-02 08:00:00,Tea,Beverage,G0104,491.99,2,Indiranagar
B00207,2024-01-30 18:00:00,Cappuccino,Food,G0059,212.15,1,Indiranagar
B00208,2023-11-10 14:00:00,Croissant,Beverage,G0313,482.17,3,Koramangala
B00209,2024-01-06 21:00:00,Latte,Beverage,G0040,255.39,1,Indiranagar
B00210,2023-08-21 07:00:00,Muffin,Food,G0237,218.04,2,Indiranagar
B00211,2023-08-19 10:00:00,Espresso,Food,G0386,121.61,1,MG Road
B00212,2024-06-23 00:00:00,Latte,Beverage,G0094,504.1,3,MG Road
B00213,2023-07-03 21:00:00,Muffin,Food,G0222,485.27,2,MG Road
B00214,2023-06-06 04:00:00,Croissant,Food,G0204,213.66,1,MG Road
B00215,2024-06-24 11:00:00,Tea,Food,G0138,507.15,1,MG Road
B00216,2023-01-28 15:00:00,Croissant,Beverage,G0300,603.17,3,MG Road
B00217,2023-03-25 06:00:00,Sandwich,Beverage,G0395,141.58,1,Koramangala
B00218,2023-11-30 02:00:00,Cappuccino,Beverage,G0207,212.6,3,MG Road
B00219,2024-04-29 21:00:00,Sandwich,Food,G0336,507.65,2,Indiranagar
B00220,2024-05-12 07:00:00,Espresso,Beverage,G0081,236.47,2,Koramangala
B00221,2023-03-04 07:00:00,Latte,Food,G0218,436.06,1,Indiranagar
B00222,2023-05-18 16:00:00,Espresso,Beverage,G0002,126.26,2,MG Road
B00223,2023-06-06 19:00:00,Tea,Beverage,G0178,337.76,2,MG Road
B00224,2023-08-07 00:00:00,Muffin,Food,G0396,501.28,1,Indiranagar
B00225,2023-03-19 05:00:00,Croissant,Beverage,G0371,471.31,2,Indiranagar
B00226,2023-10-02 09:00:00,Sandwich,Food,G0346,544.59,1,Indiranagar
B00227,2024-06-19 11:00:00,Cold Brew,Food,G0279,580.15,3,Koramangala
B00228,2023-02-23 19:00:00,Sandwich,Beverage,G0146,520.71,3,MG Road
B00229,2023-05-30 05:00:00,Tea,Food,G0318,462.81,3,Indiranagar
B00230,2024-04-30 09:00:00,Sandwich,Beverage,G0224,98.08,1,MG Road
B00231,2023-11-11 18:00:00,Tea,Beverage,G0369,384.93,1,Indiranagar
B00232,2023-10-31 08:00:00,Cold Brew,Food,G0384,101.49,2,MG Road
B00233,2023-03-10 04:00:00,Espresso,Beverage,G0062,540.6,2,Koramangala
B00234,2023-06-04 00:00:00,Croissant,Food,G0294,262.81,2,MG Road
B00235,2024-04-11 07:00:00,Latte,Beverage,G0239,400.58,2,Indiranagar
B00236,2024-04-17 16:00:00,Muffin,Beverage,G0195,239.28,2,MG Road
B00237,2023-01-30 02:00:00,Latte,Beverage,G0166,526.03,1,Koramangala
B00238,2024-03-07 08:00:00,Espresso,Beverage,G0222,585.31,1,Koramangala
B00239,2024-05-27 01:00:00,Muffin,Beverage,G0061,307.23,3,MG Road
B00240,2023-07-17 09:00:00,Sandwich,Food,G0129,571.87,3,Indiranagar
B00241,2023-02-05 14:00:00,Cold Brew,Food,G0173,232.23,3,Koramangala
B00242,2023-12-07 04:00:00,Cold Brew,Food,G0156,384.76,3,Koramangala
B00243,2023-09-01 23:00:00,Cappuccino,Food,G0378,569.49,1,MG Road
B00244,2023-11-05 00:00:00,Espresso,Food,G0110,265.75,1,Koramangala
B00245,2023-09-30 00:00:00,Espresso,Food,G0269,623.8,1,Koramangala
B00246,2024-05-01 02:00:00,Croissant,Beverage,G0356,149.47,2,Indiranagar
B00247,2023-08-07 17:00:00,Latte,Beverage,G0391,90.42,2,Indiranagar
B00248,2023-08-04 12:00:00,Espresso,Food,G0278,595.36,3,Indiranagar
B00249,2023-03-13 03:00:00,Espresso,Food,G0074,119.13,2,MG Road
B00250,2024-04-02 01:00:00,Sandwich,Beverage,G0207,645.38,1,Koramangala
B00251,2023-08-30 07:00:00,Sandwich,Beverage,G0388,622.3,3,MG Road
B00252,2024-02-18 13:00:00,Muffin,Beverage,G0279,158.1,3,Koramangala
B00253,2023-08-19 15:00:00,Tea,Food,G0375,386.42,2,Koramangala
B00254,2023-07-25 11:00:00,Tea,Food,G0326,185.4,3,Koramangala
B00255,2023-05-27 06:00:00,Cappuccino,Food,G0340,324.05,2,Indiranagar
B00256,2023-01-09 10:00:00,Tea,Beverage,G0357,115.01,2,MG Road
B00257,2024-04-21 23:00:00,Croissant,Beverage,G0340,207.64,3,MG Road
B00258,2023-06-25 18:00:00,Cappuccino,Food,G0204,287.07,2,Koramangala
B00259,2024-06-12 16:00:00,Muffin,Food,G0161,330.03,2,MG Road
B00260,2024-01-09 06:00:00,Sandwich,Beverage,G0028,637.17,2,Indiranagar
B00261,2023-07-02 21:00:00,Tea,Beverage,G0392,540.48,2,MG Road
B00262,2023-04-07 23:00:00,Latte,Beverage,G0257,500.32,3,Koramangala
B00263,2023-11-30 12:00:00,Sandwich,Beverage,G0165,386.11,1,Indiranagar
B00264,2023-05-03 03:00:00,Cold Brew,Food,G0063,558.8,1,Indiranagar
B00265,2023-11-21 01:00:00,Croissant,Beverage,G0022,273.41,2,Koramangala
B00266,2023-01-09 05:00:00,Sandwich,Beverage,G0070,484.07,2,MG Road
B00267,2023-10-24 21:00:00,Croissant,Beverage,G0381,646.46,2,Koramangala
B00268,2023-03-22 10:00:00,Croissant,Food,G0096,259.34,1,MG Road
B00269,2024-05-05 14:00:00,Croissant,Food,G0163,464.19,2,MG Road
B00270,2023-09-19 23:00:00,Muffin,Beverage,G0079,561.26,3,Indiranagar
B00271,2024-01-02 16:00:00,Croissant,Beverage,G0005,602.01,3,Koramangala
B00272,2024-04-22 16:00:00,Croissant,Beverage,G0316,489.22,3,Indiranagar
B00273,2024-01-25 03:00:00,Cold Brew,Food,G0120,241.66,1,Koramangala
B00274,2023-06-28 10:00:00,Latte,Food,G0302,265.98,2,Koramangala
B00275,2024-04-27 21:00:00,Cappuccino,Food,G0178,91.83,2,Indiranagar
B00276,2023-04-15 15:00:00,Espresso,Beverage,G0176,513.71,2,Koramangala
B00277,2024-02-21 02:00:00,Cold Brew,Food,G0390,104.36,1,Koramangala
B00278,2023-01-28 11:00:00,Cappuccino,Beverage,G0217,572.85,1,MG Road
B00279,2023-04-28 03:00:00,Croissant,Beverage,G0056,147.64,1,Koramangala
B00280,2023-10-23 18:00:00,Latte,Beverage,G0366,177.97,1,Koramangala
B00281,2023-09-30 18:00:00,Sandwich,Food,G0187,351.62,3,Indiranagar
B00282,2024-02-03 09:00:00,Latte,Beverage,G0232,500.59,1,Indiranagar
B00283,2023-03-24 18:00:00,Cold Brew,Food,G0255,159.23,1,Koramangala
B00284,2023-12-14 10:00:00,Croissant,Food,G0104,330.84,1,MG Road
B00285,2024-04-20 11:00:00,Latte,Beverage,G0077,355.23,2,MG Road
B00286,2023-05-02 07:00:00,Tea,Beverage,G0230,201.0,2,Indiranagar
B00287,2023-03-14 06:00:00,Latte,Food,G0258,145.87,2,Koramangala
B00288,2023-03-18 19:00:00,Croissant,Beverage,G0264,556.76,3,Koramangala
B00289,2023-12-28 16:00:00,Muffin,Food,G0331,366.41,3,MG Road
B00290,2023-05-05 00:00:00,Tea,Beverage,G0182,88.2,1,MG Road
B00291,2023-03-23 15:00:00,Latte,Food,G0381,537.7,2,MG Road
B00292,2023-08-28 23:00:00,Espresso,Food,G0256,639.05,3,Indiranagar
B00293,2023-10-06 22:00:00,Espresso,Food,G0038,425.38,2,Koramangala
B00294,2023-04-10 09:00:00,Latte,Food,G0176,367.11,3,Indiranagar
B00295,2024-04-07 23:00:00,Muffin,Beverage,G0027,580.7,3,Koramangala
B00296,2023-07-17 08:00:00,Sandwich,Beverage,G0276,622.93,1,Indiranagar
B00297,2023-03-17 02:00:00,Croissant,Food,G0140,510.09,1,Koramangala
B00298,2023-12-06 19:00:00,Espresso,Food,G0299,333.91,3,MG Road
B00299,2023-12-05 08:00:00,Sandwich,Beverage,G0287,417.57,1,MG Road
B00300,2023-10-03 16:00:00,Latte,Beverage,G0091,479.53,3,MG Road
B00301,2023-08-19 14:00:00,Cold Brew,Beverage,G0061,190.74,3,Indiranagar
B00302,2023-06-19 05:00:00,Sandwich,Beverage,G0365,334.9,2,MG Road
B00303,2024-04-26 17:00:00,Tea,Beverage,G0347,553.0,1,Koramangala
B00304,2023-01-11 22:00:00,Cappuccino,Beverage,G0163,453.19,1,Indiranagar
B00305,2023-09-19 23:00:00,Espresso,Food,G0351,314.39,1,Koramangala
B00306,2024-01-03 07:00:00,Latte,Beverage,G0143,458.12,2,Indiranagar
B00307,2024-01-19 16:00:00,Cold Brew,Beverage,G0253,147.39,2,Koramangala
B00308,2024-05-08 03:00:00,Croissant,Food,G0269,308.85,2,Koramangala
B00309,2023-03-27 09:00:00,Cold Brew,Beverage,G0369,532.08,1,Indiranagar
B00310,2023-08-14 23:00:00,Muffin,Beverage,G0291,205.69,1,Indiranagar
B00311,2024-05-11 11:00:00,Tea,Beverage,G0187,186.0,1,MG Road
B00312,2023-07-09 12:00:00,Latte,Beverage,G0304,621.97,2,MG Road
B00313,2023-05-10 12:00:00,Croissant,Beverage,G0291,199.64,2,Koramangala
B00314,2024-05-26 18:00:00,Muffin,Food,G0086,228.72,3,Koramangala
B00315,2023-10-26 06:00:00,Muffin,Beverage,G0166,632.68,2,Koramangala
B00316,2024-03-03 00:00:00,Latte,Food,G0114,498.78,3,Indiranagar
B00317,2023-11-05 08:00:00,Tea,Food,G0356,478.77,1,Indiranagar
B00318,2023-05-13 02:00:00,Sandwich,Beverage,G0183,566.17,2,MG Road
B00319,2024-02-16 10:00:00,Sandwich,Food,G0207,146.02,1,Koramangala
B00320,2023-04-04 23:00:00,Muffin,Beverage,G0256,482.4,1,MG Road
B00321,2023-02-18 02:00:00,Sandwich,Food,G0235,367.1,1,Indiranagar
B00322,2023-07-07 11:00:00,Cappuccino,Food,G0355,552.62,1,Indiranagar
B00323,2023-09-20 07:00:00,Muffin,Beverage,G0003,369.64,2,Indiranagar
B00324,2023-09-16 05:00:00,Muffin,Beverage,G0208,433.54,1,MG Road
B00325,2024-04-19 07:00:00,Croissant,Beverage,G0197,352.31,3,Indiranagar
B00326,2024-02-17 00:00:00,Sandwich,Beverage,G0341,352.55,2,Koramangala
