account_id,signup_date,mrr,plan_tier,region,seats
ACC0236,2023-03-03,99,Enterprise,EU,20
ACC0237,2023-10-06,49,Enterprise,NA,49
ACC0238,2023-07-22,49,Pro,APAC,14
ACC0239,2023-03-19,49,Pro,EU,46
ACC0240,2023-08-24,49,Pro,NA,35
ACC0241,2022-05-17,499,Pro,EU,29
ACC0242,2023-05-19,49,Starter,NA,12
ACC0243,2022-05-11,99,Pro,APAC,18
ACC0244,2022-08-06,499,Starter,NA,44
ACC0245,2023-11-19,99,Pro,EU,2
ACC0246,2022-06-20,99,Enterprise,EU,2
ACC0247,2023-04-20,199,Enterprise,APAC,17
ACC0248,2023-09-04,49,Enterprise,APAC,10
ACC0249,2022-05-09,49,Starter,EU,18
ACC0250,2022-02-26,99,Pro,EU,22
ACC0251,2022-06-30,49,Pro,EU,19
ACC0252,2022-09-03,499,Starter,APAC,1
ACC0253,2022-05-24,199,Starter,EU,24
ACC0254,2022-02-20,49,Starter,APAC,36
ACC0255,2023-01-03,49,Starter,EU,25
ACC0256,2023-04-04,499,Starter,NA,36
ACC0257,2022-08-06,199,Enterprise,NA,31
ACC0258,2023-09-08,499,Pro,EU,31
ACC0259,2023-07-21,99,Starter,NA,2
ACC0260,2022-09-14,99,Enterprise,APAC,19
ACC0261,2022-06-05,49,Starter,NA,12
ACC0262,2023-07-19,199,Enterprise,NA,10
ACC0263,2023-03-18,99,Starter,APAC,31
ACC0264,2023-11-30,499,Pro,NA,45
ACC0265,2023-10-24,99,Starter,NA,22
ACC0266,2023-12-24,99,Starter,EU,23
ACC0267,2022-01-25,499,Pro,APAC,23
ACC0268,2023-10-26,49,Pro,APAC,15
ACC0269,2023-06-20,199,Starter,EU,26
ACC0270,2022-03-01,49,Pro,EU,3
ACC0271,2023-04-12,499,Pro,NA,23
ACC0272,2023-03-10,99,Enterprise,NA,20
ACC0273,2022-03-07,199,Pro,NA,45
ACC0274,2023-07-19,49,Pro,EU,40
ACC0275,2022-04-16,499,Starter,APAC,39
ACC0276,2022-04-06,99,Starter,NA,8
ACC0277,2023-11-19,99,Enterprise,EU,18
ACC0278,2023-07-05,49,Starter,APAC,41
ACC0279,2022-06-17,499,Pro,EU,6
ACC0280,2022-02-11,99,Pro,NA,27
ACC0281,2022-04-14,99,Pro,EU,36
ACC0282,2022-07-23,199,Starter,EU,15
ACC0283,2023-06-04,99,Pro,EU,37
ACC0284,2022-10-09,49,Pro,EU,5
ACC0285,2022-02-12,499,Enterprise,APAC,39
ACC0286,2022-04-20,499,Enterprise,NA,9
ACC0287,2022-07-29,199,Enterprise,APAC,7
ACC0288,2022-02-18,499,Starter,EU,41
ACC0289,2022-04-25,49,Pro,EU,20
ACC0290,2022-06-04,99,Pro,NA,10
ACC0291,2023-10-11,199,Pro,NA,26
ACC0292,2023-05-18,499,Enterprise,APAC,4
ACC0293,2023-11-10,199,Pro,APAC,38
ACC0294,2023-12-12,199,Pro,NA,24
ACC0295,2022-03-12,499,Pro,APAC,14
ACC0296,2023-06-03,199,Pro,EU,41
ACC0297,2023-12-13,499,Pro,EU,1
ACC0298,2022-12-02,49,Starter,NA,17
ACC0299,2022-03-08,499,Pro,APAC,45
ACC0300,2023-05-08,99,Starter,EU,24
ACC0301,2023-10-12,499,Pro,NA,27
ACC0302,2022-08-01,99,Starter,APAC,7
ACC0303,2022-06-30,199,Pro,EU,9
ACC0304,2023-09-05,499,Pro,APAC,43
ACC0305,2023-08-22,99,Pro,APAC,35
ACC0306,2023-11-28,499,Pro,APAC,12
ACC0307,2023-08-26,499,Enterprise,NA,21
ACC0308,2022-09-05,499,Pro,EU,3
ACC0309,2022-08-02,49,Starter,NA,15
ACC0310,2022-12-25,99,Enterprise,EU,21
ACC0311,2022-09-06,49,Enterprise,EU,10
ACC0312,2023-09-30,49,Pro,NA,33
ACC0313,2023-05-31,99,Starter,NA,46
ACC0314,2022-03-29,499,Starter,EU,6
ACC0315,2023-10-25,49,Enterprise,EU,2
ACC0316,2022-06-25,49,Starter,EU,29
ACC0317,2023-12-24,49,Pro,APAC,40
ACC0318,2023-03-02,499,Pro,EU,33
ACC0319,2023-08-26,49,Pro,NA,4
ACC0320,2023-12-04,199,Pro,NA,4
ACC0321,2022-03-22,99,Pro,NA,29
ACC0322,2022-05-18,199,Enterprise,EU,37
ACC0323,2023-03-09,499,Pro,EU,20
ACC0324,2023-04-15,49,Pro,APAC,41
ACC0325,2022-12-16,99,Enterprise,APAC,23
ACC0326,2022-05-06,49,Enterprise,NA,45
ACC0327,2022-11-05,499,Enterprise,APAC,18
ACC0328,2022-08-18,99,Starter,APAC,49
ACC0329,2023-04-05,199,Starter,NA,25
ACC0330,2022-12-11,99,Pro,EU,1
ACC0331,2022-11-06,49,Pro,APAC,15
ACC0332,2022-01-20,99,Pro,EU,34
ACC0333,2023-07-15,499,Starter,NA,48
ACC0334,2023-10-09,499,Pro,NA,20
ACC0335,2023-06-25,99,Pro,APAC,37
ACC0336,2023-07-14,499,Starter,NA,27
ACC0337,2023-04-22,499,Enterprise,NA,22
ACC0338,2022-09-26,499,Starter,NA,5
ACC0339,2022-01-03,199,Pro,APAC,34
ACC0340,2022-01-16,49,Starter,APAC,39
ACC0341,2023-08-29,499,Enterprise,APAC,3
ACC0342,2022-12-24,99,Enterprise,NA,17
ACC0343,2023-10-08,499,Enterprise,EU,24
ACC0344,2022-05-13,199,Enterprise,NA,24
ACC0345,2022-11-08,99,Enterprise,APAC,3
ACC0346,2023-04-27,49,Enterprise,EU,45
ACC0347,2023-06-28,99,Pro,EU,7
ACC0348,2022-11-01,99,Pro,APAC,25
ACC0349,2022-09-26,99,Starter,EU,3
ACC0350,2023-02-18,99,Pro,EU,15
ACC0351,2022-01-25,499,Enterprise,APAC,29
ACC0352,2022-11-12,49,Pro,EU,29
ACC0353,2023-07-25,499,Starter,EU,10
ACC0354,2023-12-26,199,Enterprise,APAC,32
ACC0355,2023-10-30,199,Pro,EU,23
ACC0356,2022-10-03,99,Pro,EU,39
ACC0357,2023-01-24,499,Starter,EU,9
ACC0358,2023-12-23,499,Enterprise,EU,37
ACC0359,2023-03-20,49,Starter,APAC,40
ACC0360,2023-03-03,49,Enterprise,NA,14
ACC0361,2022-02-26,49,Enterprise,NA,4
ACC0362,2023-11-28,499,Pro,EU,20
ACC0363,2023-07-20,49,Starter,APAC,28
ACC0364,2023-12-22,49,Starter,APAC,14
ACC0365,2023-01-03,49,Starter,EU,44
ACC0366,2022-12-08,99,Enterprise,NA,34
ACC0367,2022-10-31,199,Starter,EU,13
ACC0368,2023-01-09,199,Enterprise,APAC,31
ACC0369,2022-04-22,499,Starter,APAC,33
ACC0370,2022-01-06,499,Starter,NA,39
ACC0371,2023-12-04,99,Pro,APAC,28
ACC0372,2022-10-06,199,Starter,APAC,25
ACC0373,2023-01-17,49,Pro,APAC,32
ACC0374,2022-01-13,49,Pro,NA,9
ACC0375,2022-10-30,499,Enterprise,APAC,28
ACC0376,2023-07-10,199,Starter,EU,31
ACC0377,2023-09-09,499,Starter,NA,17
ACC0378,2022-06-09,499,Starter,EU,23
ACC0379,2022-06-03,49,Pro,EU,13
ACC0380,2022-06-30,49,Starter,NA,10
ACC0381,2023-06-10,199,Enterprise,EU,16
ACC0382,2022-06-29,499,Enterprise,NA,6
ACC0383,2023-01-12,99,Starter,EU,48
ACC0384,2022-06-17,199,Pro,NA,11
ACC0385,2022-08-02,499,Enterprise,APAC,3
ACC0386,2022-05-30,199,Enterprise,APAC,28
ACC0387,2022-01-16,199,Pro,EU,41
ACC0388,2022-04-01,199,Enterprise,APAC,15
ACC0389,2022-04-30,99,Pro,NA,13
ACC0390,2022-09-10,99,Enterprise,EU,42
ACC0391,2022-03-01,49,Pro,APAC,45
ACC0392,2022-09-23,49,Enterprise,APAC,17
ACC0393,2023-02-13,499,Starter,EU,7
ACC0394,2022-01-31,199,Enterprise,APAC,28
ACC0395,2022-01-21,499,Enterprise,APAC,38
ACC0396,2024-01-01,49,Starter,EU,13
ACC0397,2023-08-16,99,Starter,APAC,17
ACC0398,2022-10-16,49,Starter,APAC,15
ACC0399,2023-06-27,499,Starter,APAC,36
ACC0400,2023-05-13,49,Pro,APAC,28
ACC0401,2023-04-19,499,Pro,EU,15
ACC0402,2023-02-09,499,Enterprise,NA,46
ACC0403,2023-07-02,499,Enterprise,NA,11
ACC0404,2022-05-12,499,Enterprise,APAC,31
ACC0405,2022-11-20,49,Pro,APAC,4
ACC0406,2022-05-12,499,Enterprise,NA,35
ACC0407,2023-06-05,499,Enterprise,APAC,34
ACC0408,2022-01-30,199,Pro,NA,27
ACC0409,2023-09-19,499,Enterprise,EU,10
ACC0410,2022-10-28,49,Pro,EU,30
ACC0411,2022-01-04,499,Pro,EU,45
ACC0412,2022-11-21,99,Starter,EU,20
ACC0413,2023-05-24,99,Starter,EU,29
ACC0414,2022-08-25,499,Pro,EU,29
ACC0415,2023-06-19,99,Pro,NA,23
ACC0416,2022-01-16,99,Starter,APAC,21
ACC0417,2023-06-18,49,Enterprise,NA,48
ACC0418,2023-08-07,199,Enterprise,EU,43
ACC0419,2023-03-22,99,Enterprise,APAC,10
ACC0420,2023-05-18,99,Pro,APAC,41
ACC0421,2022-08-18,199,Starter,EU,12
ACC0422,2022-04-17,199,Enterprise,EU,30
ACC0423,2023-12-21,99,Starter,EU,33
ACC0424,2023-01-24,499,Starter,EU,18
ACC0425,2023-12-21,99,Pro,EU,14
ACC0426,2022-09-20,499,Enterprise,EU,22
ACC0427,2023-07-17,499,Starter,APAC,21
ACC0428,2022-03-06,499,Pro,EU,1
ACC0429,2022-09-22,199,Pro,EU,49
ACC0430,2022-12-04,99,Pro,APAC,43
ACC0431,2022-10-28,99,Enterprise,NA,15
ACC0432,2023-01-13,49,Enterprise,EU,36
ACC0433,2022-06-24,199,Pro,APAC,47
ACC0434,2022-06-01,49,Enterprise,APAC,22
ACC0435,2023-04-21,49,Enterprise,NA,32
ACC0436,2022-09-23,499,Starter,EU,46
ACC0437,2022-11-25,199,Pro,EU,33
ACC0438,2022-06-12,49,Pro,EU,41
ACC0439,2023-03-14,99,Enterprise,APAC,39
ACC0440,2022-12-09,49,Pro,EU,23
ACC0441,2023-01-02,199,Pro,EU,43
ACC0442,2023-04-10,99,Pro,EU,2
ACC0443,2022-07-18,99,Enterprise,EU,2
ACC0444,2023-05-15,99,Enterprise,NA,38
ACC0445,2022-01-16,499,Enterprise,NA,29
ACC0446,2022-10-23,99,Starter,NA,46
ACC0447,2023-05-26,499,Pro,EU,3
ACC0448,2022-08-27,499,Starter,EU,39
ACC0449,2023-08-04,49,Enterprise,APAC,7
ACC0450,2022-10-28,49,Starter,APAC,36
ACC0451,2022-01-06,99,Pro,APAC,29
ACC0452,2022-08-08,199,Pro,EU,37
ACC0453,2023-03-29,99,Enterprise,NA,49
ACC0454,2023-03-09,49,Enterprise,NA,36
ACC0455,2023-01-21,99,Starter,NA,23
ACC0456,2023-09-11,49,Enterprise,EU,45
ACC0457,2022-10-22,99,Starter,NA,16
ACC0458,2022-04-28,199,Pro,APAC,48
ACC0459,2023-02-09,99,Pro,APAC,31
ACC0460,2023-11-11,199,Pro,NA,34
ACC0461,2023-08-17,199,Pro,APAC,1
ACC0462,2023-07-20,99,Pro,NA,18
ACC0463,2022-01-12,199,Starter,NA,40
ACC0464,2022-07-28,199,Pro,APAC,43
ACC0465,2022-06-14,49,Starter,APAC,15
ACC0466,2022-10-21,49,Pro,APAC,48
ACC0467,2023-06-03,199,Starter,APAC,49
ACC0468,2022-03-19,499,Starter,NA,17
ACC0469,2023-03-10,99,Starter,APAC,44
ACC0470,2023-07-31,199,Enterprise,APAC,10
ACC0471,2023-09-06,99,Starter,EU,20
ACC0472,2023-11-14,49,Starter,APAC,6
ACC0473,2022-03-18,99,Pro,APAC,8
ACC0474,2022-02-17,199,Starter,NA,45
ACC0475,2022-03-23,199,Starter,NA,34
ACC0476,2023-12-22,199,Enterprise,EU,32
ACC0477,2022-07-28,199,Pro,APAC,42
ACC0478,2023-03-21,499,Enterprise,APAC,4
ACC0479,2023-08-19,499,Enterprise,APAC,44
ACC0480,2023-06-06,499,Enterprise,APAC,39
ACC0481,2022-01-29,199,Starter,APAC,20
ACC0482,2022-10-31,499,Enterprise,APAC,24
ACC0483,2023-04-10,99,Enterprise,EU,24
ACC0484,2023-05-17,199,Pro,APAC,26
ACC0485,2023-03-22,49,Pro,APAC,25
ACC0486,2023-09-20,199,Pro,APAC,36
ACC0487,2023-05-05,99,Pro,EU,7
ACC0488,2023-03-04,499,Enterprise,APAC,10
ACC0489,2023-07-13,199,Pro,EU,47
ACC0490,2022-12-25,499,Starter,NA,12
ACC0491,2022-04-01,199,Enterprise,APAC,1
ACC0492,2022-02-22,99,Pro,EU,25
ACC0493,2023-12-31,199,Enterprise,NA,16
ACC0494,2023-08-12,499,Pro,EU,5
ACC0495,2022-07-23,499,Enterprise,EU,19
ACC0496,2023-07-10,99,Pro,NA,4
ACC0497,2022-06-05,199,Starter,APAC,6
ACC0498,2022-01-02,49,Pro,APAC,26
ACC0499,2022-12-23,199,Enterprise,EU,49
ACC0500,2023-07-23,99,Enterprise,NA,39
ACC0501,2022-02-27,49,Starter,APAC,39
ACC0502,2022-09-11,99,Enterprise,EU,9
ACC0503,2022-06-29,199,Starter,NA,45
ACC0504,2023-05-08,49,Enterprise,EU,14
ACC0505,2023-10-31,99,Enterprise,NA,48
ACC0506,2022-02-04,499,Starter,APAC,9
ACC0507,2022-03-16,49,Enterprise,APAC,15
ACC0508,2022-10-16,49,Enterprise,EU,37
ACC0509,2023-01-06,99,Starter,APAC,20
ACC0510,2023-08-10,499,Pro,APAC,8
ACC0511,2022-11-25,49,Starter,NA,32
ACC0512,2023-08-13,99,Enterprise,APAC,47
ACC0513,2022-10-31,49,Pro,NA,21
ACC0514,2023-08-02,49,Pro,NA,41
ACC0515,2022-08-09,49,Pro,EU,19
ACC0516,2022-06-13,499,Starter,NA,29
ACC0517,2023-04-25,199,Pro,APAC,31
ACC0518,2023-03-31,199,Pro,NA,6
ACC0519,2023-01-10,499,Pro,NA,4
ACC0520,2022-08-08,499,Enterprise,EU,43
ACC0521,2023-11-15,99,Starter,APAC,29
ACC0522,2022-09-11,49,Starter,APAC,42
ACC0523,2023-12-23,499,Enterprise,APAC,3
ACC0524,2022-07-07,99,Pro,NA,1
ACC0525,2022-07-10,199,Enterprise,APAC,44
ACC0526,2023-01-24,199,Enterprise,APAC,15
ACC0527,2022-08-03,199,Pro,NA,47
ACC0528,2023-01-10,199,Pro,EU,21
ACC0529,2022-03-27,99,Starter,EU,46
ACC0530,2023-04-19,49,Pro,NA,31
ACC0531,2023-09-10,99,Enterprise,EU,7
ACC0532,2023-06-15,49,Enterprise,EU,17
ACC0533,2022-02-16,199,Pro,EU,19
ACC0534,2022-03-06,499,Starter,APAC,39
ACC0535,2023-04-20,499,Enterprise,EU,3
ACC0536,2022-05-26,499,Pro,APAC,30
ACC0537,2023-01-17,49,Starter,EU,35
ACC0538,2022-03-07,199,Starter,APAC,29
ACC0539,2023-06-01,99,Enterprise,NA,14
ACC0540,2022-04-03,499,Enterprise,NA,35
ACC0541,2023-03-02,49,Starter,EU,28
ACC0542,2023-04-13,499,Starter,APAC,30
ACC0543,2022-04-04,99,Starter,NA,26
ACC0544,2023-09-10,199,Pro,NA,7
ACC0545,2022-05-13,99,Enterprise,NA,39
ACC0546,2023-03-10,199,Starter,NA,31
ACC0547,2022-12-07,199,Enterprise,EU,5
ACC0548,2022-11-10,199,Enterprise,APAC,35
ACC0549,2023-08-14,499,Enterprise,NA,47
ACC0550,2022-07-31,99,Starter,EU,14
ACC0551,2023-06-04,499,Pro,NA,36
ACC0552,2022-06-08,99,Starter,NA,27
ACC0553,2022-09-25,49,Enterprise,NA,24
ACC0554,2023-10-23,49,Starter,NA,40
ACC0555,2023-08-26,99,Starter,EU,29
ACC0556,2023-04-19,99,Enterprise,APAC,45
ACC0557,2023-02-14,99,Enterprise,EU,22
